id 	institution sameAs 	institution 	TM collection 	THOT collection 	idno 	online 	idno type=TopBib 	alias 	type 	povenance id 	provenance 	note type=def 	Wikidata 	note type=Mariette
CoEg_obj_00000001 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	A 26 	https://collections.louvre.fr/ark:/53355/cl010007879 			statue 			Sphinx (Basse-Époque, XXIXe dynastie) 		
CoEg_obj_00000002 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	N 391 	N 391 A : https://collections.louvre.fr/ark:/53355/cl010008101 ; N 391 B : https://collections.louvre.fr/ark:/53355/cl010009177 ; N 391 C : https://collections.louvre.fr/ark:/53355/cl010009176 ; N 391 D : https://collections.louvre.fr/ark:/53355/cl010009175 ; N 391 E : https://collections.louvre.fr/ark:/53355/cl010009541 ; N 391 F : https://collections.louvre.fr/ark:/53355/cl010009540 			statue 	CoEg_place_00000004 		Six sphinx (époque ptolémaïque ; fouilles du Sérapéum) 		
CoEg_obj_00000003 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	C 318 	https://collections.louvre.fr/ark:/53355/cl010027816 			stela 	CoEg_place_00000004 		Stèle (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum) originellement encastrée dans le socle du lion N 432 A 		
CoEg_obj_00000004 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	N 432 A 	https://collections.louvre.fr/ark:/53355/cl010010168 			statue 	CoEg_place_00000004 		Lion (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum) ; son socle abritait la stèle C 318 		
CoEg_obj_00000005 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	N 432 B 	https://collections.louvre.fr/ark:/53355/cl010010169 			statue 	CoEg_place_00000004 		Lion (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum) 		
CoEg_obj_00000006 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	N 432 C 	https://collections.louvre.fr/ark:/53355/cl010010170 			statue 	CoEg_place_00000004 		Lion (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum) 		
CoEg_obj_00000007 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	N 390 	https://collections.louvre.fr/ark:/53355/cl010007389 			statue 	CoEg_place_00000004 		Statue d'Apis (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum) 		
CoEg_obj_00000008 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	E 3023 	https://collections.louvre.fr/ark:/53355/cl010006582 			statue 	CoEg_place_00000004 		Le « Scribe accroupi » ([Ancien Empire, Ive-Ve dynastie ?] ; fouilles du Sérapéum) 		
CoEg_obj_00000009 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	N 405 	https://collections.louvre.fr/ark:/53355/cl010010051 			stela 	CoEg_place_00000004 		Stèle (Basse-Époque ; XXVIe dynastie ; fouilles du Sérapéum) 		Reproduite dans Mariette, Auguste, Choix de monuments et de dessins découverts ou exécutés pendant le déblaiement du Sérapéum de Memphis, Paris, Gide et J. Baudry, 1856, pl. 7 (https://gallica.bnf.fr/ark:/12148/bpt6k3041140v/f31.image)
CoEg_obj_00000010 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	N 413 	https://collections.louvre.fr/ark:/53355/cl010020344 			stela 	CoEg_place_00000004 		Stèle (Troisième Période intermédiaire, XXIIe dynastie ; fouilles du Sérapéum) 		
CoEg_obj_00000011 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	A 90 	https://collections.louvre.fr/ark:/53355/cl010020802 		N 91 	statue 			Statue de Neshor présentant une triade (Basse-Époque, XXVIe dynastie). Autre numéro d'inventaire : N 91. 		
CoEg_obj_00000012 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	N 420 	https://collections.louvre.fr/ark:/53355/cl010010052 			misc 	CoEg_place_00000004 		Porte (fouilles du Sérapéum) 		Mariette lui a attribué le numéro 5
CoEg_obj_00000013 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	N 394 1 A à D 	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=23158 			misc 	CoEg_place_00000004 		Vases canopes d'Apis réalisés sous Amenhotep III 		
CoEg_obj_00000014 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	N 394 2 A à D 	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=27861 			misc 	CoEg_place_00000004 		Vases canopes d'Apis réalises sous Toutânkhamon 		
CoEg_obj_00000015 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	N 407 	https://collections.louvre.fr/ark:/53355/cl010077487 			stela 	CoEg_place_00000004 		Stèle (Basse-Époque, XXVIIe dynastie) 		
CoEg_obj_00000016 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	N 481 	https://collections.louvre.fr/ark:/53355/cl010019286 			stela 	CoEg_place_00000004 		Stèle (Troisième Période intermédiaire, XXIIe dynastie). Autre numéro d'inventaire : AF 123 		
CoEg_obj_00000017 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	N 488 	https://collections.louvre.fr/ark:/53355/cl010019585 			stela 	CoEg_place_00000004 		Stèle (Troisième Période intermédiaire, XXIIe dynastie) 		
CoEg_obj_00000018 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	IM 3736 	https://collections.louvre.fr/ark:/53355/cl010020346 			stela 	CoEg_place_00000004 		Stèle (Troisième Période intermédiaire, XXIIe dynastie). Autre numéro d'inventaire : S 1905 		
CoEg_obj_00000019 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	N 347 	https://collections.louvre.fr/ark:/53355/cl010008055 			statue 	CoEg_place_00000004 		Statue de Bès (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum) 		Mariette utilise le nom de Typhon
CoEg_obj_00000020 	CoEg_org_00000021 		www.trismegistos.org/collection/334 	http://thot.philo.ulg.ac.be/concept/thot-5351 					papyrus 			ms bilingue de Turin ? 		
CoEg_obj_00000021 	CoEg_org_00000005 		www.trismegistos.org/collection/193 	http://thot.philo.ulg.ac.be/concept/thot-5040 	EA 24 	https://www.britishmuseum.org/collection/object/Y_EA24 			stela 			Pierre de Rosette (époque ptolémaïque ; Rosette) 	https://www.wikidata.org/wiki/Q48584 	
CoEg_obj_00000022 	CoEg_org_00000021 		www.trismegistos.org/collection/334 	http://thot.philo.ulg.ac.be/concept/thot-5351 	1791 	http://collezioni.museoegizio.it/it-IT/material/Cat_1791 			papyrus 			Livre des morts d'Ioufânkh (Basse-Époque, XXVIe dynastie ; Thèbes ?) 		
CoEg_obj_00000023 	CoEg_org_00000026 		www.trismegistos.org/collection/270 		Égyptien 183-194 	https://archivesetmanuscrits.bnf.fr/ark:/12148/cc12921q 			papyrus 			Papyrus Prisse (XIIe dynastie ; acheté en région thébaine) 		
CoEg_obj_00000024 		British Library 	www.trismegistos.org/collection/192 	http://thot.philo.ulg.ac.be/concept/thot-5039 					codex 			Codex alexandrinus, manuscrit biblique. 	https://www.wikidata.org/wiki/Special:EntityPage/Q318233 	Appartenait alors aux collections du British Museum
CoEg_obj_00000025 	CoEg_org_00000021 		www.trismegistos.org/collection/334 	http://thot.philo.ulg.ac.be/concept/thot-5351 	7155 	http://collezioni.museoegizio.it/it-IT/material/Cat_7155 			misc 			« Table isiaque », ou mensa Isiaca (époque romaine ?) 	https://www.wikidata.org/wiki/Special:EntityPage/Q3817829 	
CoEg_obj_00000026 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	A 105 	https://collections.louvre.fr/ark:/53355/cl010006354 			statue 	CoEg_place_00000004 		Statue de Sékhemka (Ancien Empire, Ve dynastie ; fouilles du Sérapéum) 		
CoEg_obj_00000027 	CoEg_org_00000021 		www.trismegistos.org/collection/334 	http://thot.philo.ulg.ac.be/concept/thot-5351 	2031 	http://collezioni.museoegizio.it/it-IT/material/Cat_2031 ; https://papyri.museoegizio.it/!8 			papyrus 			papyrus érotique de Turin 	https://www.wikidata.org/wiki/Q3362985 	
CoEg_obj_00000028 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	A 102 	https://collections.louvre.fr/ark:/53355/cl010010189 			statue 	CoEg_place_00000004 		Groupe familial de Sékhemka (Ancien Empire, Ve dynastie ; fouilles du Sérapéum) 		
CoEg_obj_00000029 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	A 103 	https://collections.louvre.fr/ark:/53355/cl010009419 			statue 	CoEg_place_00000004 		Statue de Sékhemka (Ancien Empire, Ve dynastie ; fouilles du Sérapéum) 		
CoEg_obj_00000030 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	A 104 	https://collections.louvre.fr/ark:/53355/cl010006355 			statue 	CoEg_place_00000004 		Statue de Sékhemka (Ancien Empire, Ve dynastie ; fouilles du Sérapéum) 		
CoEg_obj_00000031 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	N 410 	https://collections.louvre.fr/ark:/53355/cl010079174 		IM 4246 	stela 	CoEg_place_00000004 		Stèle funéraire d'Apis, an LII de Ptolémée VIII Évergète II (époque ptolémaïque ; fouilles du Sérapéum) 		
CoEg_obj_00000032 	In situ 						http://topbib.griffith.ox.ac.uk//dtb.html?topbib=601-010-060 		relief 	CoEg_place_00000026 		table d'Abydos 	https://www.wikidata.org/wiki/Q481644 	
CoEg_obj_00000033 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 34516 		http://topbib.griffith.ox.ac.uk//dtb.html?topbib=309-020-070 		relief 	CoEg_place_00000001 		« Table de Saqqarah » (XIXe dynastie; Saqqarah) 	https://www.wikidata.org/wiki/Q1054563 	
CoEg_obj_00000034 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	JE 60539 		http://topbib.griffith.ox.ac.uk//dtb.html?topbib=401-260-010 		stela 	CoEg_place_00000068 		« Stèle de l’an 400 » (XIXe dynastie; Tanis) 	https://www.wikidata.org/wiki/Q22935888 	
CoEg_obj_00000035 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	JE 48863 		http://topbib.griffith.ox.ac.uk/dtb.html?topbib=701-070-130-020-080 		stela 	CoEg_place_00000102 		« Stèle du songe de Tanoutamon » (XXVe dynastie; Gebel Barkal) 	https://www.wikidata.org/wiki/Q3501440 	
CoEg_obj_00000036 	CoEg_org_00000005 		www.trismegistos.org/collection/193 	http://thot.philo.ulg.ac.be/concept/thot-5040 	EA 9999 	https://www.britishmuseum.org/collection/object/Y_EA9999-1 			papyrus 	CoEg_place_00000019 		Papyrus Harris (XXe dynastie; région thébaine) 	https://www.wikidata.org/wiki/Q1578003 	
CoEg_obj_00000037 		Bibliothèque nationale autrichienne 	www.trismegistos.org/collection/357 		Cod. 324 HAN MAG 				manuscript 			Table de Peutinger (copie du XIIIe siècle ; Worms) 	https://www.wikidata.org/wiki/Q12767 	
CoEg_obj_00000038 		Metropolitan Museum of Art (New York) 	www.trismegistos.org/collection/247 	http://thot.philo.ulg.ac.be/concept/thot-6054 	50.85 	https://www.metmuseum.org/art/collection/search/546037 			stela 			« Stèle de Metternich » (Basse-Époque, XXXe dynastie ; provenance inconnue, sans doute Héliopolis) 	https://www.wikidata.org/wiki/Q845853 	
CoEg_obj_00000039 		Bibliothèque universitaire de Leipzig 	www.trismegistos.org/collection/181 	http://thot.philo.ulg.ac.be/concept/thot-4469 	P. Ebers 				papyrus 			Papyrus (XVIIIe dynastie ; acheté à Louqsor) 	https://www.wikidata.org/wiki/Q310301 	
CoEg_obj_00000040 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	D 68 	https://collections.louvre.fr/ark:/53355/cl010028946 			relief 	CoEg_place_00000044 		Calendrier d'offrandes sur bas-relief (XVIIIe dynastie, Éléphantine) 		
CoEg_obj_00000041 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 432 				statue 	CoEg_place_00000068 		Colosse réinscrit au nom de Ramsès II (Moyen Empire ; Tanis) 		
CoEg_obj_00000042 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 576 				statue 	CoEg_place_00000117 		Sphinx inscrit au nom de Thoutmosis III (XVIIIe dynastie ; Karnak) 		
CoEg_obj_00000043 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 577 				statue 	CoEg_place_00000117 		Sphinx inscrit au nom de Thoutmosis III (XVIIIe dynastie ; Karnak) 		
CoEg_obj_00000044 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 34010 				stela 	CoEg_place_00000117 		« Stèle poétique de Thoutmosis III » ou « Stèle triomphale de Thoutmosis III » (XVIIIe dynastie ; Karnak) 		
CoEg_obj_00000045 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 22182 				stela 	CoEg_place_00000010 		« Stèle du satrape » (XXXe dynastie ; Le Caire) 		
