id 	institution sameAs 	institution 	TM collection 	THOT collection 	idno 	online 	idno type=TopBib 	alias 	type 	povenance id 	provenance 	note type=def 	Wikidata 	note type=Mariette
CoEg_obj_00000079 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	D 8 	https://collections.louvre.fr/ark:/53355/cl010036401 			sarcophagus 	CoEg_place_00000001 		Sarcophage de Djedhor (XXXe dynastie, Saqqarah) 		
CoEg_obj_00000080 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	D 9 	https://collections.louvre.fr/ark:/53355/cl010037229 			sarcophagus 	CoEg_place_00000001 		Sarcophage de Djedhor (XXXe dynastie, Saqqarah) 		
CoEg_obj_00000081 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	E 3020 	https://collections.louvre.fr/en/ark:/53355/cl010019581 			coffin 	CoEg_place_00000019 		Cercueil de Sékhemrê Hérouhermaât Antef (XVIIe dynastie, Thèbes) 		
CoEg_obj_00000082 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 538 				statue 	CoEg_place_00000199 		Statue royale (Deuxième Période intermédiaire, XIVe dynastie, Tanis) 		
CoEg_obj_00000083 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	s. n. 				statue 	CoEg_place_00000068 		Statue royale (XIIIe dynastie ; Tanis) réinscrite au nom d'Apopis (voir PM t. 4, p. 19 : nos 86, 98) 		
CoEg_obj_00000084 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 1197 				statue 	CoEg_place_00000068 		Sphinx (Moyen Empire, Tanis) ; pendant du sphinx Louvre A 21 ? 		
CoEg_obj_00000085 	CoEg_org_00000002 		www.trismegistos.org/collection/274 		A 16 	https://collections.louvre.fr/ark:/53355/cl010009690 			statue 	CoEg_place_00000068 		Statue de Sobekhotep III (XIIIe dynastie, Tanis) 		
CoEg_obj_00000086 	CoEg_org_00000040 	Musée égyptien de Berlin 	https://www.trismegistos.org/collection/40 	http://thot.philo.ulg.ac.be/concept/thot-4371 	7264 	https://www.metmuseum.org/art/collection/search/590699 			statue 	CoEg_place_00000068 		Statue royale (XIIe dynastie, Tanis) 		
CoEg_obj_00000087 		In situ 							stela 	CoEg_place_00000007 		« Stèle du rêve » (Nouvel Empire, règne de Thoutmosis IV ; grand Sphinx) 	https://www.wikidata.org/wiki/Q45687 	
CoEg_obj_00000088 	CoEg_org_00000002 		www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786 	A 17 	https://collections.louvre.fr/ark:/53355/cl010007870 			statue 	CoEg_place_00000068 		Statue de Sobekhotep III (XIIIe dynastie, Tanis) 		
CoEg_obj_00000089 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	JE 2091 				stela 	CoEg_place_00000007 		« Stèle de l'inventaire » (XXVIe dynastie, Gizah) 	https://www.wikidata.org/wiki/Q23054821 	
CoEg_obj_00000090 	CoEg_org_00000022 		www.trismegistos.org/collection/73 	http://thot.philo.ulg.ac.be/concept/thot-4044 	CG 565 (JE 3420) 				statue 	CoEg_place_00000117 		Statue d'Aménirdis Ire (XXVe dynastie, Karnak) 		
CoEg_obj_imn 												Objet non encore identifié 		
