id	institution sameAs	institution	TM collection	THOT collection	idno	online	idno type=TopBib	alias	type	povenance id	provenance	note type=def	Wikidata
CoEg_obj_00000019	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786	N 347	https://collections.louvre.fr/ark:/53355/cl010008055			statue	CoEg_place_00000004	Sérapéum	Statue de Bès (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum)	
CoEg_obj_00000021	CoEg_org_00000005	British Museum	www.trismegistos.org/collection/193	http://thot.philo.ulg.ac.be/concept/thot-5040	EA 24	https://www.britishmuseum.org/collection/object/Y_EA24			stela			Pierre de Rosette (époque ptolémaïque ; Rosette)	https://www.wikidata.org/wiki/Q48584
CoEg_obj_00000022	CoEg_org_00000021	Musée de Turin	www.trismegistos.org/collection/334	http://thot.philo.ulg.ac.be/concept/thot-5351	1791	http://collezioni.museoegizio.it/it-IT/material/Cat_1791			papyrus			Livre des morts d'Ioufânkh (Basse-Époque, XXVIe dynastie ; Thèbes ?)	
CoEg_obj_00000023	CoEg_org_00000026	Bibliothèque nationale de France	www.trismegistos.org/collection/270		Égyptien 183-194	https://archivesetmanuscrits.bnf.fr/ark:/12148/cc12921q			papyrus			Papyrus Prisse (XIIe dynastie ; acheté en région thébaine)	
CoEg_obj_00000024		British Library	www.trismegistos.org/collection/192	http://thot.philo.ulg.ac.be/concept/thot-5039					codex			Codex alexandrinus, manuscrit biblique.	https://www.wikidata.org/wiki/Special:EntityPage/Q318233
CoEg_obj_00000025	CoEg_org_00000021	Musée de Turin	www.trismegistos.org/collection/334	http://thot.philo.ulg.ac.be/concept/thot-5351	7155	http://collezioni.museoegizio.it/it-IT/material/Cat_7155			misc			« Table isiaque », ou mensa Isiaca (époque romaine ?)	https://www.wikidata.org/wiki/Special:EntityPage/Q3817829
CoEg_obj_00000026	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786	A 105	https://collections.louvre.fr/ark:/53355/cl010006354			statue	CoEg_place_00000004	Sérapéum	Statue de Sékhemka (Ancien Empire, Ve dynastie ; fouilles du Sérapéum)	
CoEg_obj_00000027	CoEg_org_00000021	Musée de Turin	www.trismegistos.org/collection/334	http://thot.philo.ulg.ac.be/concept/thot-5351	2031	http://collezioni.museoegizio.it/it-IT/material/Cat_2031 ; https://papyri.museoegizio.it/!8			papyrus			Papyrus érotique de Turin	https://www.wikidata.org/wiki/Q3362985
CoEg_obj_00000028	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786	A 102	https://collections.louvre.fr/ark:/53355/cl010010189			statue	CoEg_place_00000004	Sérapéum	Groupe familial de Sékhemka (Ancien Empire, Ve dynastie ; fouilles du Sérapéum)	
CoEg_obj_00000029	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786	A 103	https://collections.louvre.fr/ark:/53355/cl010009419			statue	CoEg_place_00000004	Sérapéum	Statue de Sékhemka (Ancien Empire, Ve dynastie ; fouilles du Sérapéum)	
CoEg_obj_00000030	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786	A 104	https://collections.louvre.fr/ark:/53355/cl010006355			statue	CoEg_place_00000004	Sérapéum	Statue de Sékhemka (Ancien Empire, Ve dynastie ; fouilles du Sérapéum)	
CoEg_obj_00000031	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786	N 410	https://collections.louvre.fr/ark:/53355/cl010079174		IM 4246	stela	CoEg_place_00000004	Sérapéum	Stèle funéraire d'Apis, an LII de Ptolémée VIII Évergète II (époque ptolémaïque ; fouilles du Sérapéum)	
CoEg_obj_00000032	In situ						http://topbib.griffith.ox.ac.uk//dtb.html?topbib=601-010-060		relief	CoEg_place_00000026	Abydos	Table d'Abydos	https://www.wikidata.org/wiki/Q481644
CoEg_obj_00000033	CoEg_org_00000022	Musée du Caire	www.trismegistos.org/collection/73	http://thot.philo.ulg.ac.be/concept/thot-4044	CG 34516		http://topbib.griffith.ox.ac.uk//dtb.html?topbib=309-020-070		relief	CoEg_place_00000001	Saqqarah	« Table de Saqqarah » (XIXe dynastie; Saqqarah)	https://www.wikidata.org/wiki/Q1054563
CoEg_obj_00000034	CoEg_org_00000022	Musée du Caire	www.trismegistos.org/collection/73	http://thot.philo.ulg.ac.be/concept/thot-4044	JE 60539		http://topbib.griffith.ox.ac.uk//dtb.html?topbib=401-260-010		stela	CoEg_place_00000068	Tanis	« Stèle de l’an 400 » (XIXe dynastie; Tanis)	https://www.wikidata.org/wiki/Q22935888
CoEg_obj_00000035	CoEg_org_00000022	Musée du Caire	www.trismegistos.org/collection/73	http://thot.philo.ulg.ac.be/concept/thot-4044	JE 48863 		http://topbib.griffith.ox.ac.uk/dtb.html?topbib=701-070-130-020-080		stela	CoEg_place_00000102	Gebel Barkal	« Stèle du songe de Tanoutamon » (XXVe dynastie; Gebel Barkal)	https://www.wikidata.org/wiki/Q3501440
CoEg_obj_00000036	CoEg_org_00000005	British Museum	www.trismegistos.org/collection/193	http://thot.philo.ulg.ac.be/concept/thot-5040	EA 9999	https://www.britishmuseum.org/collection/object/Y_EA9999-1			papyrus	CoEg_place_00000019	Thèbes	Papyrus Harris (XXe dynastie; région thébaine)	https://www.wikidata.org/wiki/Q1578003
CoEg_obj_00000037		Bibliothèque nationale autrichienne	www.trismegistos.org/collection/357		Cod. 324 HAN MAG 				manuscript			Table de Peutinger (copie du XIIIe siècle ; Worms)	https://www.wikidata.org/wiki/Q12767
CoEg_obj_00000038		Metropolitan Museum of Art (New York)	www.trismegistos.org/collection/247 	http://thot.philo.ulg.ac.be/concept/thot-6054	50.85 	https://www.metmuseum.org/art/collection/search/546037			stela			« Stèle de Metternich » (Basse-Époque, XXXe dynastie ; provenance inconnue, sans doute Héliopolis)	https://www.wikidata.org/wiki/Q845853
CoEg_obj_00000039		Bibliothèque universitaire de Leipzig	www.trismegistos.org/collection/181	http://thot.philo.ulg.ac.be/concept/thot-4469	P. Ebers				papyrus			Papyrus (XVIIIe dynastie ; acheté à Louqsor)	https://www.wikidata.org/wiki/Q310301
CoEg_obj_00000040	CoEg_org_00000002	Musée du Louvre	www.trismegistos.org/collection/274 	http://thot.philo.ulg.ac.be/concept/thot-4786	D 68	https://collections.louvre.fr/ark:/53355/cl010028946			relief	CoEg_place_00000044	Eléphantine	Calendrier d'offrandes sur bas-relief (XVIIIe dynastie, Éléphantine)	
CoEg_obj_00000041	CoEg_org_00000022	Musée du Caire	www.trismegistos.org/collection/73	http://thot.philo.ulg.ac.be/concept/thot-4044	CG 432				statue	CoEg_place_00000068	Tanis	Colosse réinscrit au nom de Ramsès II (Moyen Empire ; Tanis)	
