person_id	type	persName	Qualité	Année de naissance	Année de décès	note type=def	note type=Mariette	BNF_URL	dataBnF	IDRef	VIAF	idno Wikidata	ISNI (ne semble pas comporter d'entrées absentes du VIAF)
CoEg_pers_00000138	contemp	Wilkinson, John Gardner	Égyptologue britannique	1797	1875			https://catalogue.bnf.fr/ark:/12148/cb12331057s	https://data.bnf.fr/ark:/12148/cb12331057s	https://www.idref.fr/080734243	https://viaf.org/viaf/69000129	https://www.wikidata.org/wiki/Q923032	
CoEg_pers_00000139	contemp	Lenormant, Charles	Égyptologue français, professeur au Collège de France	1802	1859			https://catalogue.bnf.fr/ark:/12148/cb124598503	https://data.bnf.fr/ark:/12148/cb124598503	https://www.idref.fr/033766398	https://viaf.org/viaf/7485941	https://www.wikidata.org/wiki/Q547695	
CoEg_pers_00000140	contemp	Bunsen (von), Christian Charles Josias	Diplomate et érudit prussien	1791	1860			https://catalogue.bnf.fr/ark:/12148/cb121845954	https://data.bnf.fr/ark:/12148/cb121845954	https://www.idref.fr/067070019	https://viaf.org/viaf/27110558	https://www.wikidata.org/wiki/Q67409	
CoEg_pers_00000141	contemp	Jomard, Edme-François	Érudit	1777	1862			https://catalogue.bnf.fr/ark:/12148/cb121648063	https://data.bnf.fr/ark:/12148/cb121648063	https://www.idref.fr/030178673	https://viaf.org/viaf/2511766	https://www.wikidata.org/wiki/Q240788	
CoEg_pers_00000142													
CoEg_pers_00000143	contemp	Gide	Éditeur										
CoEg_pers_00000144	contemp	Baudry, J.	Éditeur										
CoEg_pers_00000145	hist	Alexandre le Grand	Roi macédonien et conquérant à succès	356	323			https://catalogue.bnf.fr/ark:/12148/cb11946296j	https://data.bnf.fr/ark:/12148/cb11946296j	https://www.idref.fr/027417077	https://viaf.org/viaf/88742742/	https://www.wikidata.org/wiki/Q8409	
CoEg_pers_00000146	contemp	Chevalier, Michel	Haut fonctionnaire français	1806	1879			https://catalogue.bnf.fr/ark:/12148/cb12171043k	https://data.bnf.fr/ark:/12148/cb12171043k	https://www.idref.fr/03025518X	https://viaf.org/viaf/51933	https://www.wikidata.org/wiki/Q1930688	
CoEg_pers_00000147	hist	Pythagore	Philosophe grec	v. 580	v. 495			https://catalogue.bnf.fr/ark:/12148/cb11920816v	https://eye.bnf.fr/ark:/12148/cb11920816v	https://www.idref.fr/027085260	https://viaf.org/viaf/162237897/	https://www.wikidata.org/wiki/Q10261	
CoEg_pers_00000148	hist	Solon	Homme d'État grec	v. 640	v. 558			https://catalogue.bnf.fr/ark:/12148/cb13091860r	https://data.bnf.fr/ark:/12148/cb13091860r	https://www.idref.fr/028829832	https://viaf.org/viaf/81144814374407675870/	https://www.wikidata.org/wiki/Q133337	
CoEg_pers_00000149	hist	Lajard, Félix		1783	1858			https://catalogue.bnf.fr/ark:/12148/cb10692736g	https://data.bnf.fr/ark:/12148/cb10692736g	https://www.idref.fr/112353053	https://viaf.org/viaf/769603	https://www.wikidata.org/wiki/Q8313314	
CoEg_pers_00000150	myth	Mithra	Dieu oriental								https://viaf.org/viaf/72187436	https://www.wikidata.org/wiki/Q6497135	
CoEg_pers_00000151	myth	Osiris	Dieu égyptien					https://catalogue.bnf.fr/ark:/12148/cb11936736v	https://data.bnf.fr/ark:/12148/cb11936736v	https://www.idref.fr/027293807	https://viaf.org/viaf/61789844	https://www.wikidata.org/wiki/Q46491	
CoEg_pers_00000152	myth	Bacchus	Dieu romain							https://www.idref.fr/027394719	https://viaf.org/viaf/27864934	https://www.wikidata.org/wiki/Q645312	
CoEg_pers_00000153	myth	Jupiter	Dieu romain							https://www.idref.fr/027849546	https://viaf.org/viaf/22933410	https://www.wikidata.org/wiki/Q4649	
CoEg_pers_00000154	myth	Hadès	Dieu grec					https://catalogue.bnf.fr/ark:/12148/cb123985871	https://data.bnf.fr/ark:/12148/cb123985871	https://www.idref.fr/033083630	https://viaf.org/viaf/47684337/	https://www.wikidata.org/wiki/Q41410	
CoEg_pers_00000155	hist	Nebrê	Roi égyptien (IIe dynastie)			Appelé Καιέχως par Manéthon (francisé en Céchoüs »)						https://www.wikidata.org/wiki/Q152751	
CoEg_pers_00000156	myth	Mnévis	Taureau sacré égyptien							https://www.idref.fr/241034124	https://viaf.org/viaf/38144897957450201849	https://www.wikidata.org/wiki/Q1067292	
CoEg_pers_00000157	hist	Jules l'Africain	Historien grec	v. 160	v. 240	alias Sextus Julius Africanus		https://catalogue.bnf.fr/ark:/12148/cb12163447b	https://data.bnf.fr/ark:/12148/cb12163447b	https://www.idref.fr/030162262	https://viaf.org/viaf/160788177	https://www.wikidata.org/wiki/Q317014	
CoEg_pers_00000158	hist	Georges le Syncelle	Ecclésiastique et chroniqueur byzantin					https://catalogue.bnf.fr/ark:/12148/cb119914769	https://data.bnf.fr/ark:/12148/cb119914769	https://www.idref.fr/027988627	https://viaf.org/viaf/39386582	https://www.wikidata.org/wiki/Q366382	
CoEg_pers_00000159	hist	Strabon	Géographe et historien grec	v. 60	v. 20			https://catalogue.bnf.fr/ark:/12148/cb11925629v	https://data.bnf.fr/ark:/12148/cb11925629v	https://www.idref.fr/027150062	https://viaf.org/viaf/100219883/	https://www.wikidata.org/wiki/Q45936	
CoEg_pers_00000160	contemp	Frédéric-Guillaume IV de Prusse	Roi de Prusse	1797	1854			https://catalogue.bnf.fr/ark:/12148/cb12192556z	https://data.bnf.fr/ark:/12148/cb12192556z	https://www.idref.fr/030528593	https://viaf.org/viaf/172909814	https://www.wikidata.org/wiki/Q57180	
CoEg_pers_00000161	hist	Mykérinos	Roi égyptien (Ive dynastie)								https://viaf.org/viaf/16553808	https://www.wikidata.org/wiki/Q200986	
CoEg_pers_00000162	hist	Snéfrou	Roi égyptien (Ive dynastie								https://viaf.org/viaf/53177422	https://www.wikidata.org/wiki/Q189371	
CoEg_pers_00000163	hist	Hapy											
CoEg_pers_00000164	contemp	Sharpe, Samuel	Égyptologue et bibliste	1799	1881			https://catalogue.bnf.fr/ark:/12148/cb10332256z	https://data.bnf.fr/ark:/12148/cb10332256z	https://www.idref.fr/066009189	https://viaf.org/viaf/20462374	https://www.wikidata.org/wiki/Q7412601	
CoEg_pers_00000165	hist	Pline l'Ancien	Écricain latin	23	79			https://catalogue.bnf.fr/ark:/12148/cb11887294r	https://data.bnf.fr/ark:/12148/cb11887294r	https://www.idref.fr/026668149	https://viaf.org/viaf/100219162	https://www.wikidata.org/wiki/Q82778	
CoEg_pers_00000166	hist	Ammien Marcellin	Historien latin	v. 330	v. 395			https://catalogue.bnf.fr/ark:/12148/cb118886885	https://data.bnf.fr/ark:/12148/cb118886885	https://www.idref.fr/026684942	https://viaf.org/viaf/89594750/	https://www.wikidata.org/wiki/Q172198	
CoEg_pers_00000167	hist	Suétone	Biographe latin					https://catalogue.bnf.fr/ark:/12148/cb119257294	https://data.bnf.fr/ark:/12148/cb119257294	https://www.idref.fr/027151387	https://viaf.org/viaf/89599270/	https://www.wikidata.org/wiki/Q10133	
CoEg_pers_00000168	hist	Germanicus	Général romain	15 av. J.-C.	19			https://catalogue.bnf.fr/ark:/12148/cb11904724r	https://data.bnf.fr/ark:/12148/cb11904724r	https://www.idref.fr/02688903X	https://viaf.org/viaf/56580498	https://www.wikidata.org/wiki/Q191039	
CoEg_pers_00000169	hist	Spartianus	Écrivain latin					https://catalogue.bnf.fr/ark:/12148/cb104864618	https://data.bnf.fr/ark:/12148/cb104864618	https://www.idref.fr/130559571	https://viaf.org/viaf/14759878	https://www.wikidata.org/wiki/Q1230624	
CoEg_pers_00000170	hist	Titus	Empereur romain	39	81			https://catalogue.bnf.fr/ark:/12148/cb11972355w	https://data.bnf.fr/ark:/12148/cb11972355w	https://www.idref.fr/027746887	https://viaf.org/viaf/83217593/	https://www.wikidata.org/wiki/Q1421	
CoEg_pers_00000171	hist	Hadrien	Empereur romain	76	138			https://catalogue.bnf.fr/ark:/12148/cb11954875z	https://data.bnf.fr/ark:/12148/cb11954875z	https://www.idref.fr/027527530	https://viaf.org/viaf/82440741/	https://www.wikidata.org/wiki/Q1427	
CoEg_pers_00000172	hist	Julien l'Apostat	Empereur romain	331/332	363			https://catalogue.bnf.fr/ark:/12148/cb121721673	https://data.bnf.fr/ark:/12148/cb121721673	https://www.idref.fr/028722620	https://viaf.org/viaf/57406701/	https://www.wikidata.org/wiki/Q33941	
CoEg_pers_00000173	hist	Théodose Ier le Grand	Empereur romain	347	379			https://catalogue.bnf.fr/ark:/12148/cb12648653g	https://data.bnf.fr/ark:/12148/cb12648653g	https://www.idref.fr/050559109	https://viaf.org/viaf/31978444/	https://www.wikidata.org/wiki/Q46696	
CoEg_pers_00000174	contemp	Zoega, Georg	Antiquaire	1755	1809			https://catalogue.bnf.fr/ark:/12148/cb13007843r	https://data.bnf.fr/ark:/12148/cb13007843r	https://www.idref.fr/139519955	https://viaf.org/viaf/69064075	https://www.wikidata.org/wiki/Q568595	
CoEg_pers_00000175	hist	Tochon, Joseph-François	Homme politique et antiquaire	1772	1820	alias « Tochon d'Annecy »		https://catalogue.bnf.fr/ark:/12148/cb16556232h	https://data.bnf.fr/ark:/12148/cb16556232h	https://www.idref.fr/101278586	https://viaf.org/viaf/38017994	https://www.wikidata.org/wiki/Q3184268	
CoEg_pers_00000176	hist	Solin	Écrivain latin					https://catalogue.bnf.fr/ark:/12148/cb12459920f	https://data.bnf.fr/ark:/12148/cb12459920f	https://www.idref.fr/033768986	https://viaf.org/viaf/51672454/	https://www.wikidata.org/wiki/Q520487	
CoEg_pers_00000177	hist	Porphyre de Tyr	Philosophe grec et latin	234	v. 310			https://catalogue.bnf.fr/ark:/12148/cb120084710	https://data.bnf.fr/ark:/12148/cb120084710	https://www.idref.fr/027435873	https://viaf.org/viaf/64016141/	https://www.wikidata.org/wiki/Q203445	
CoEg_pers_00000178	hist	Pomponius Mela	Géographe latin					https://catalogue.bnf.fr/ark:/12148/cb121174358	https://data.bnf.fr/ark:/12148/cb121174358	https://www.idref.fr/029578019	https://viaf.org/viaf/34489209	https://www.wikidata.org/wiki/Q297515	
CoEg_pers_00000179	contemp	Birch, Samuel	Égyptologue	1813	1885			https://catalogue.bnf.fr/ark:/12148/cb13088768q	https://data.bnf.fr/ark:/12148/cb13088768q	https://www.idref.fr/066640059	https://viaf.org/viaf/757450	https://www.wikidata.org/wiki/Q2742058	
CoEg_pers_00000180	hist	Élien le Sophiste	Écrivain grec					https://catalogue.bnf.fr/ark:/12148/cb13092007b	https://data.bnf.fr/ark:/12148/cb13092007b	https://www.idref.fr/030060087	https://viaf.org/viaf/100219416	https://www.wikidata.org/wiki/Q313782	
CoEg_pers_00000181	hist	Ahmès	Propriétaire original d'un sarcophage égyptien du musée de Berlin										
CoEg_pers_00000182	hist	Ahmès Ier	Roi égyptien (XVIIIe dynastie)								https://viaf.org/viaf/59882356/	https://www.wikidata.org/wiki/Q7222	
CoEg_pers_00000183	hist	Pétisis											
CoEg_pers_00000184	hist	Jablonski, Paul Ernest	Orientaliste	1693	1757			https://catalogue.bnf.fr/ark:/12148/cb12546975z	https://data.bnf.fr/ark:/12148/cb12546975z	https://www.idref.fr/067721117	https://viaf.org/viaf/34571501	https://www.wikidata.org/wiki/Q110313	
CoEg_pers_00000185	hist	Ahmès fils d'Abana	Chef des rameurs sous Ahmès Ier (XVIIIe dynastie), enterré à El-Kab								https://viaf.org/viaf/24239867/	https://www.wikidata.org/wiki/Q402060	
CoEg_pers_00000186	myth	Vulcain	Dieu romain							https://www.idref.fr/027862682	https://viaf.org/viaf/42633769	https://www.wikidata.org/wiki/Q4640	
CoEg_pers_00000187	hist	Ptolémée VIII Évergète II	Roi égyptien (dynastie lagide)	182	116						https://viaf.org/viaf/155419788/	https://www.wikidata.org/wiki/Q3350	
CoEg_pers_00000188	myth	Hapy	Dieu égyptien								https://viaf.org/viaf/298837669	https://www.wikidata.org/wiki/Q32143	
CoEg_pers_00000189	myth	Hathor	Déesse égyptienne							https://www.idref.fr/030147492	https://viaf.org/viaf/63151776729818010780	https://www.wikidata.org/wiki/Q133343	
