id	placeName	lat	lon	def	note type=Mariette	GeoName_URL	Pleiades_URL	TopBib_URL	TMGeo_URL	Wikidata_URL
CoEg_place_00000042	Esna	25.29336 	32.55402 	(إسنا [Isnā])		https://www.geonames.org/355449	https://pleiades.stoa.org/places/786059	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=504-050	https://www.trismegistos.org/place/1227	https://www.wikidata.org/wiki/Q626031
CoEg_place_00000043	Armant	25.61988 	32.54305 	(أرمنت [Armant])		https://www.geonames.org/360170	https://pleiades.stoa.org/places/786036	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=504-010	https://www.trismegistos.org/place/812	https://www.wikidata.org/wiki/Q679056
CoEg_place_00000044	Eléphantine	24.08995 	32.88938 			https://www.geonames.org/359790	https://pleiades.stoa.org/places/786021	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=507-020	https://www.trismegistos.org/place/621	https://www.wikidata.org/wiki/Q284009
CoEg_place_00000045	Ouadi Natroun	30.43785 	30.19499 	(وادي النطرون [Wādī an-Naṭrūn])		https://www.geonames.org/351277		http://topbib.griffith.ox.ac.uk//dtb.html?topbib=702-040	https://www.trismegistos.org/place/3375	https://www.wikidata.org/wiki/Q1074945
CoEg_place_00000046	Saxe	0	0							https://www.wikidata.org/wiki/Q153015
CoEg_place_00000047	Bedford	52.13459 	-0.46632 			https://www.geonames.org/2656046				https://www.wikidata.org/wiki/Q208257
CoEg_place_00000048	Prusse	0	0							https://www.wikidata.org/wiki/Q38872
CoEg_place_00000049	Thébaïde	25.720555555556	32.610277777778						https://www.trismegistos.org/place/2982	https://www.wikidata.org/wiki/Q768515
CoEg_place_00000050	Hout-ched-abed	0	0	Localité memphite (cf. Gauthier Heni, Dictionnaire des noms géographiques contenus dans les textes hiéroglyphiques, t. 4, Le Caire, Institut français d'archéologie orientale – Société royale de géographie d'Égypte, 1927, p. 135 [https://archive.org/details/Gauthier1927/page/n69/mode/2up]						
CoEg_place_00000051	Berlin	52.5233 	13.41377 			https://www.geonames.org/6547383			https://www.trismegistos.org/place/20102	https://www.wikidata.org/wiki/Q64
CoEg_place_00000052	Angleterre	52.16045 	-0.70312 			https://www.geonames.org/6269131			https://www.trismegistos.org/place/19851	https://www.wikidata.org/wiki/Q21
CoEg_place_00000053	Sinope	42.02683 	35.16253 			https://www.geonames.org/739600	https://pleiades.stoa.org/places/857321		https://www.trismegistos.org/place/2141	https://www.wikidata.org/wiki/Q599416
CoEg_place_00000054	Argos	37.63333 	22.73333 			https://www.geonames.org/264670			https://www.trismegistos.org/place/301	https://www.wikidata.org/wiki/Q189901
CoEg_place_00000055	Élée	40.16061 	15.15594 			https://www.geonames.org/3164641	https://pleiades.stoa.org/places/452488		https://www.trismegistos.org/place/2495	https://www.wikidata.org/wiki/Q272968
CoEg_place_00000056	Syrie	35	38			https://www.geonames.org/163843			https://www.trismegistos.org/place/2211	https://www.wikidata.org/wiki/Q858
CoEg_place_00000057	Grèce	39	22			https://www.geonames.org/390903			https://www.trismegistos.org/place/762	https://www.wikidata.org/wiki/Q41
CoEg_place_00000058	Sicile	37.62304 	13.93457 			https://www.geonames.org/2523118	https://pleiades.stoa.org/places/462492		https://www.trismegistos.org/place/2132	https://www.wikidata.org/wiki/Q1460
CoEg_place_00000059	Italie	42.83333 	12.83333 			https://www.geonames.org/3175395	https://pleiades.stoa.org/places/1052		https://www.trismegistos.org/place/932	https://www.wikidata.org/wiki/Q38
CoEg_place_00000060	Gaules	0	0						https://www.trismegistos.org/place/693	https://www.wikidata.org/wiki/Q38060
CoEg_place_00000061	Piémont	45	8			https://www.geonames.org/3170831				https://www.wikidata.org/wiki/Q1216
CoEg_place_00000062	Nilopolis	0	0						https://www.trismegistos.org/place/2427	https://www.wikidata.org/wiki/Q3704933
CoEg_place_00000063	Ombos	25.90107 	32.72392 			https://www.geonames.org/351356	https://pleiades.stoa.org/places/786079	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=506-131	https://www.trismegistos.org/place/1499	https://www.wikidata.org/wiki/Q17486769
CoEg_place_00000064	Mons Claudianus	26.8092 	33.48693 	ā		https://www.geonames.org/352089	https://pleiades.stoa.org/places/766348			https://www.wikidata.org/wiki/Q1146716
