letter_id	letter_title	authority	ms_id	id repository	repository	settlement	idno	locus	creation	date	author_id	author	author_VIAF_URL	author_certainty	place_id	lat	lon	place	place_GeoName_URL	place_certainty	recipient_id	recipient	recipient_BNF_URL
CoEg_Mariette_1873-01-05	Le 5 janvier 1873, de Boulaq, à Chabas	Thomas Lebée	CoEg_Mariette_ms_004	CoEg_org_00000004	Institut de France	Paris	Ms. 2584	28-31	1873-01-05	5 January 1873	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000029	30.053	31.23	Boulaq	https://www.geonames.org/358683	certain	CoEg_pers_00000316	Chabas, François	https://catalogue.bnf.fr/ark:/12148/cb12335105s
CoEg_Mariette_1873-01-05b	Le 5 janvier 1873, de Boulaq, à Maspero	Thomas Lebée	CoEg_Mariette_ms_028	CoEg_org_00000004	Institut de France	Paris	ms. 4030	Fos 429-430	1873-01-05	5 January 1873	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000029	30.053	31.23	Boulaq	https://www.geonames.org/358683		CoEg_pers_00000291	Maspero, Gaston	
CoEg_Mariette_1873-02-23a	Le 23 février 1873, de Boulaq, à Chabas	Thomas Lebée	CoEg_Mariette_ms_004	CoEg_org_00000004	Institut de France	Paris	Ms. 2584	182-185	1873-02-23	23 February 1873	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000029	30.053	31.23	Boulaq	https://www.geonames.org/358683	certain	CoEg_pers_00000316	Chabas, François	https://catalogue.bnf.fr/ark:/12148/cb12335105s
CoEg_Mariette_1873-02-23b	Le 23 février 1873, de Boulaq, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	88-90	1873-02-23	23 February 1873	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000029	30.053	31.23	Boulaq	https://www.geonames.org/358683	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s
CoEg_Mariette_1873-03-17	Le 17 mars 1873, de Boulaq, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	91-92	1873-03-17	17 March 1873	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000029	30.053	31.23	Boulaq	https://www.geonames.org/358683	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s
CoEg_Mariette_1873-03-28	Le 28 mars 1873, sans lieu, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	93	1873-03-28	28 March 1873	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000029	30.053	31.23	Boulaq	https://www.geonames.org/358683	certain	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s
CoEg_Mariette_1873-04-23	Le 23 avril 1873, de Boulogne-sur-Mer, à Chabas	Thomas Lebée	CoEg_Mariette_ms_004	CoEg_org_00000004	Institut de France	Paris	Ms. 2584	296-299	1873-04-23	23 April 1873	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556	1.61389	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000316	Chabas, François	https://catalogue.bnf.fr/ark:/12148/cb12335105s
CoEg_Mariette_1873-05-04	Le 4 mai 1873, de Paris, à Maspero	Thomas Lebée	CoEg_Mariette_ms_028	CoEg_org_00000004	Institut de France	Paris	ms. 4030	Fo 431	1873-05-04	4 May 1873	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000002	48.856944444444	2.3513888888889	Paris	http://www.geonames.org/2988507		CoEg_pers_00000291	Maspero, Gaston	
CoEg_Mariette_1873-06-22	Le 22 juin 1873, de Vienne, à Desjardins	Thomas Lebée	CoEg_Mariette_ms_003	CoEg_org_00000026	Bibliothèque nationale de France	Paris	NAF 11669	94-95	1873-06-22	22 June 1873	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_imn	0	0	À identifier		unknown	CoEg_pers_00000244	Desjardins, Ernest	https://catalogue.bnf.fr/ark:/12148/cb13003254s
CoEg_Mariette_1873-06-22b	Le 22 juin 1873, de Vienne, à Maspero	Thomas Lebée	CoEg_Mariette_ms_028	CoEg_org_00000004	Institut de France	Paris	ms. 4030	Fo 433	1873-06-22	22 June 1873	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000086	48.2205994	16.2396296	Vienne	https://www.geonames.org/2761369		CoEg_pers_00000291	Maspero, Gaston	
