id	Translittération	Traduction	note	note type="Mariette"	URL TLA	URL AVW
CoEg_aeg_00000080	Ḥꜥꜥ-ꞽb-Rꜥ	Hââ-ib-Rê (Apriès)			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=862968&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=862968
CoEg_aeg_00000081	Ḥwt-Mḥn 	Hout-méhen				
CoEg_aeg_00000082	Ḫnsw	Khonsou			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=118720&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=118720
CoEg_aeg_00000083	Mꜣꜥt	Maât			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=66630&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=66630
CoEg_aeg_00000084	šs	corde			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=156930&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=156930
CoEg_aeg_00000085	pḏ	dérouler			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=63170&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=63170
CoEg_aeg_00000086	m	en tant que, comme			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=64362&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=64362
CoEg_aeg_00000087	ḥsꞽ	louer, favoriser			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=109620&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=109620
CoEg_aeg_00000088	nty	conjonction relative			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=89850&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=89850
CoEg_aeg_00000089	ḫr	auprès de			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=850795&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=850795
CoEg_aeg_00000090	nswt	roi			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=88040&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=88040
CoEg_aeg_00000091	ḥtp	offrande, paix, être satisfait	!!!		http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=111230&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=111230
CoEg_aeg_00000092	ḥr	sur			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=107521&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=107521
CoEg_aeg_00000093	sꜣ	phylé			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=125581&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=125581
CoEg_aeg_00000094	3-nw	troisième			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=600235&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=600235
CoEg_aeg_00000095	Ꞽmn	Amon			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=860839&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=860839
CoEg_aeg_00000096	pꜣ	article défini masculin singulier			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=851446&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=851446
CoEg_aeg_00000097	wꞽꜣ	barque			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=44020&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=44020
CoEg_aeg_imn		terme à identifier				
